price,title,location,lat,lng,Referencia,Clasificación,Baños,Conservación,Superficie construida,Habitaciones
650000.0,"Apartamento en venta en Calle de Juan Ramón Jiménez, 8","Calle de Juan Ramón Jiménez, 8. Hispanoamérica, Chamartín (Madrid Capital)",40.4584,-3.68661, 4521170-DE-2EUR604-18052020-89840738,  Pendiente de completar, 1,, 76 m², 1
650000.0,"Apartamento en venta en Calle de Juan Ramón Jiménez, 8","Calle de Juan Ramón Jiménez, 8. Hispanoamérica, Chamartín (Madrid Capital)",40.4584,-3.68661, 4521170-88319993-88319993,  En trámite, 1,, 74 m², 1
600000.0,"Apartamento en venta en Avenida de Alberto Alcocer, 12","Avenida de Alberto Alcocer, 12. Hispanoamérica, Chamartín (Madrid Capital)",40.4585,-3.68595, 4521170-DE-EUR- 280519713AL-86065348,  En trámite, 1,, 74 m², 1
650000.0,"Apartamento en venta en Avenida de Alberto Alcocer, 12","Avenida de Alberto Alcocer, 12. Hispanoamérica, Chamartín (Madrid Capital)",40.4585,-3.68595, 4521170-DE-EUR604-18052020-89406088,  Pendiente de completar, 1,, 76 m², 1
599999.0,"Apartamento en venta en Avenida de Alberto Alcocer, 12","Avenida de Alberto Alcocer, 12. Hispanoamérica, Chamartín (Madrid Capital)",40.4585,-3.68595, 4521170-DE-EUR28052019811-85665110,  En trámite, 1,, 80 m², 2
235000.0,"Apartamento en venta en Calle de Cartagena, 110, cerca de Calle de Clara del Rey","Calle de Cartagena, 110, cerca de Calle de Clara del Rey. Prosperidad, Chamartín (Madrid Capital)",40.4399,-3.67377, 191651022493-10437022/2493,  Disponible, 1,, 45 m², 1
420000.0,"Apartamento en venta en Calle de Santa Hortensia, 18","Calle de Santa Hortensia, 18. Prosperidad, Chamartín (Madrid Capital)",40.44455,-3.66745, EP805-PR0485,  Pendiente de completar, 1,, 75 m², 2
275000.0,Apartamento en venta en El Viso,"Prosperidad, Chamartín (Madrid Capital)",40.4506724,-3.6808759, GM5-178866,  En trámite, 1, A estrenar, 38 m², 1
1745000.0,Apartamento en venta en Piso de 155 M2 de Lujo en Pleno Barrio de Chamberi,"Almagro, Chamberí (Madrid Capital)",40.431253,-3.6936932, FE101-267325,  En trámite, 4,, 155 m², 3
2600000.0,Apartamento en venta en Almagro,"Almagro, Chamberí (Madrid Capital)",40.4360277,-3.6988865, IFC76282-VR120923MC,  En trámite, 4, A estrenar, 214 m², 4
4300000.0,Apartamento en venta en Almagro,"Almagro, Chamberí (Madrid Capital)",40.4326821,-3.6944279, DA3-MAD38419,  En trámite, 4,, 378 m², 4
2700000.0,Apartamento en venta en Almagro,"Almagro, Chamberí (Madrid Capital)",40.4309551,-3.6952529, DA3-MAD42201,  En trámite, 4,, 280 m², 4
325000.0,"Apartamento en venta en Calle de Fernando 'El Católico', cerca de Calle de Julio Nombela","Calle de Fernando 'El Católico', cerca de Calle de Julio Nombela. Arapiles, Chamberí (Madrid Capital)",40.4342109,-3.7111728, 4525936-ACP1054B,  En trámite, 1, En buen estado, 26 m², 1
223000.0,Apartamento en venta en Chamberi,"Arapiles, Chamberí (Madrid Capital)",40.4343667,-3.7106961, IF77045-I-00XEGF-W-02FA33,  En trámite, 1, En buen estado, 50 m², 1
170000.0,"Apartamento en venta en Calle del Doctor Vallejo, cerca de Calle de Elfo","Calle del Doctor Vallejo, cerca de Calle de Elfo. Quintana, Ciudad Lineal (Madrid Capital)",40.4371453,-3.6441027, 4993362-76334,  En trámite, 1, Reformado, 56 m², 1
815000.0,Apartamento en venta en Ciudad Universitaria,"Ciudad Universitaria, Moncloa-Aravaca (Madrid Capital)",40.446346981,-3.704010475, DA3-MAD42650,  En trámite, 2,, 93 m², 2
258700.0,Apartamento en venta en Ciudad Universitaria,"Ciudad Universitaria, Moncloa-Aravaca (Madrid Capital)",40.4423965,-3.7357795, GM14-188087,  En trámite, 1, A reformar, 34 m²,
374700.0,Apartamento en venta en Ciudad Universitaria,"Ciudad Universitaria, Moncloa-Aravaca (Madrid Capital)",40.4433123,-3.7378086, GM14-188089,  En trámite, 1, A reformar, 55 m², 1
343700.0,Apartamento en venta en Ciudad Universitaria,"Ciudad Universitaria, Moncloa-Aravaca (Madrid Capital)",40.4508299,-3.7378962, GM14-188081,  En trámite, 1, A reformar, 52 m², 1
301700.0,Apartamento en venta en Ciudad Universitaria,"Ciudad Universitaria, Moncloa-Aravaca (Madrid Capital)",40.45123,-3.737684, GM14-188082,  En trámite, 1, A reformar, 40 m², 1
353700.0,Apartamento en venta en Ciudad Universitaria,"Ciudad Universitaria, Moncloa-Aravaca (Madrid Capital)",40.4431193,-3.730066, GM14-188091,  En trámite, 1, A reformar, 52 m², 1
447700.0,Apartamento en venta en Ciudad Universitaria,"Ciudad Universitaria, Moncloa-Aravaca (Madrid Capital)",40.457799162,-3.713064523, GM14-188083,  En trámite, 2, A reformar, 65 m², 2
458700.0,Apartamento en venta en Ciudad Universitaria,"Ciudad Universitaria, Moncloa-Aravaca (Madrid Capital)",40.4550244,-3.7161411, GM14-188090,  En trámite, 2, A reformar, 70 m², 2
630000.0,Apartamento en venta en Club de Golf-Molino de la Hoz,Club de Golf-Molino de la Hoz (Las Rozas de Madrid),40.5523315,-3.9050721, DA16-RZS41750,  En trámite, 3,, 344 m², 4
170000.0,Apartamento en venta en Los Valles,Los Valles (Collado Villalba),40.641585,-4.0085366, 4992271-1246,  Disponible, 1, En buen estado, 55 m², 1
265000.0,"Apartamento en venta en Pasaje de la Virgen de la Alegría, 17","Pasaje de la Virgen de la Alegría, 17. Concepción, Ciudad Lineal (Madrid Capital)",40.434141,-3.657331, EP805-1287,  Pendiente de completar, 2,, 84 m², 3
275000.0,"Apartamento en venta en Calle de la Virgen de Lourdes, 12","Calle de la Virgen de Lourdes, 12. Concepción, Ciudad Lineal (Madrid Capital)",40.4359084,-3.656234, EP805-1288,  En trámite, 1,, 78 m², 2
661545.0,Apartamento en venta en Arturo Soria-Ciudad Lineal,"Concepción, Ciudad Lineal (Madrid Capital)",40.4434962,-3.6391913, IF77045-I-00XAY8-W-02SXET,  En trámite, 2,, 157 m², 3
1550000.0,Apartamento en venta en Plaza del Ángel,"Plaza del Ángel. Cortes-Huertas, Centro (Madrid Capital)",40.4142599,-3.7022646, SA88-DS-P77405,  Disponible, 2, En buen estado, 215 m², 2
229000.0,"Apartamento en venta en Calle de Moratín, cerca de Costanilla de los Desamparados","Calle de Moratín, cerca de Costanilla de los Desamparados. Cortes-Huertas, Centro (Madrid Capital)",40.4124139,-3.6963118, 4525936-ACP1301A,  En trámite, 1, En buen estado, 26 m², 1
315000.0,Apartamento en venta en Calaburra - Chaparral,"Cortes-Huertas, Centro (Madrid Capital)",40.4170599,-3.6998181, SA491-R4387393-APMIJANT/5234,  Disponible, 2,, 97 m², 2
229000.0,"Apartamento en venta en Calle de Moratín, 23, cerca de Costanilla de los Desamparados","Calle de Moratín, 23, cerca de Costanilla de los Desamparados. Cortes-Huertas, Centro (Madrid Capital)",40.412440514013,-3.69687282134843, 4515177-1004,  En trámite, 1, A estrenar, 28 m², 1
240000.0,Apartamento en venta en Calahonda,"Cortes-Huertas, Centro (Madrid Capital)",40.4170599,-3.6998181, SA491-R4381690-APMIJJCC/5234,  Disponible, 1,, 69 m², 2
310000.0,Apartamento en venta en Costanilla de los Desamparados,"Costanilla de los Desamparados. Cortes-Huertas, Centro (Madrid Capital)",40.4115063,-3.6968507, SA397-6120P/2439,  Disponible, 1,, 50 m², 1
235000.0,"Apartamento en venta en Calle de Moratín, 23, cerca de Costanilla de los Desamparados","Calle de Moratín, 23, cerca de Costanilla de los Desamparados. Cortes-Huertas, Centro (Madrid Capital)",40.412434,-3.69686, NI301-516,  Pendiente de completar, 1, En buen estado, 30 m², 1
650000.0,Apartamento en venta en Cortes-Huertas,"Cortes-Huertas, Centro (Madrid Capital)",40.4144102,-3.6985717, DA3-MAD32538,  En trámite, 1,, 141 m², 6
1300000.0,Apartamento en venta en Cortes-Huertas,"Cortes-Huertas, Centro (Madrid Capital)",40.4096406,-3.6928847, DA3-MAD42729,  En trámite, 4,, 146 m², 3
829000.0,Apartamento en venta en Cortes-Huertas,"Cortes-Huertas, Centro (Madrid Capital)",40.4133864,-3.6981386, DA3-MAD38681,  En trámite, 3,, 102 m², 3
219000.0,"Apartamento en venta en Avenida de la Peseta, nº sn","Avenida de la Peseta, nº sn. Cuatro Vientos, Latina (Madrid Capital)",40.3684737493488,-3.76541427752675, 4524622-000073,  En trámite, 1, En buen estado, 53 m², 1
193000.0,"Apartamento en venta en Calle de los Timbales, 1","Calle de los Timbales, 1. Cuatro Vientos, Latina (Madrid Capital)",40.3728,-3.76655, SA4190-A432/3253,  Disponible, 1,, 56 m², 1
295000.0,Apartamento en venta en El Cantizal,El Cantizal (Las Rozas de Madrid),40.519577642,-3.928260908, IFC75943-APA_542,  Pendiente de completar, 1, En buen estado, 50 m², 1
150000.0,Apartamento en venta en Piso Cerca de La Estacion de Cercanias C4 de Renfe,El Nido-Las Fuentes (Parla),40.2417184,-3.7743673, FE101-277383,  En trámite,,, 74 m², 3
1050000.0,Apartamento en venta en La Moraleja - El Soto de La Moraleja,El Soto de la Moraleja (La Moraleja),40.5225088,-3.6407604, SA2325-AR02269/7288,  Disponible, 3,, 202 m², 4
178000.0,"Apartamento en venta en Avenida del Ensanche de Vallecas, 85, cerca de Calle de Antonio Gades","Avenida del Ensanche de Vallecas, 85, cerca de Calle de Antonio Gades. Ensanche de Vallecas-Valdecarros, Villa de Vallecas (Madrid Capital)",40.36203,-3.5951385, 20155444,  Disponible, 1, En buen estado, 60 m², 1
175000.0,Apartamento en venta en Ensanche de Vallecas,"Ensanche de Vallecas-Valdecarros, Villa de Vallecas (Madrid Capital)",40.3610287,-3.5951774, EP349-11245,  Pendiente de completar, 1, En buen estado, 57 m², 1
270000.0,Apartamento en venta en Calle de Palas de Rey,"Calle de Palas de Rey. Las Tablas, Fuencarral-El Pardo (Madrid Capital)",40.5106831,-3.6720078, NI485-1036,  Pendiente de completar, 1, En buen estado, 51 m², 1
630000.0,Apartamento en venta en Fuentelarreina,"Fuentelarreina, Fuencarral-El Pardo (Madrid Capital)",40.4799482,-3.7418208, SA1600-1021331/6833,  Disponible, 3,, 154 m², 3
330000.0,Apartamento en venta en Barrio de Salamanca,"Fuente del Berro, Salamanca (Madrid Capital)",40.4259693,-3.6667779, SA2622-V3146-93230054,  Pendiente de completar, 1,, 49 m², 2
