price,title,location,lat,lng,characteristics
160.000 €,"Piso en venta en Avenida de Oza, 114, cerca de Calle de Cartagena","Avenida de Oza, 114, cerca de Calle de Cartagena. Os Castros-Castrillón-Monelos (A Coruña Capital)",43.353897019668,-8.3951429844081,"['Habitaciones : 3', 'Baños : 2', 'Exterior', 'Referencia : AG213-B280', 'Tipo suelo : Tarima normal', 'Calefacción : Gas natural', 'Cocina : Individual', 'Ascensor', 'Adaptado a personas con movilidad reducida', 'Orientación : Noroeste', 'Clasificación:  En trámite', 'Pedir más información']"
100.000 €,Piso en venta en Calle de la Vila de Ordes,Calle de la Vila de Ordes. Os Castros-Castrillón-Monelos (A Coruña Capital),43.349895,-8.3965979,"['Superficie construida : 85 m²', 'Habitaciones : 4', 'Baños : 1', 'Planta : 5ª', 'Referencia : SA1974-IF189/7275', 'Tipo suelo : Terrazo', 'Agua', 'Puerta blindada', 'Orientación : Sureste', 'Clasificación:  Disponible', 'Emisiones:  100 Kg CO2/m2 año  A B C D E F G']"
70.000 €,Piso en venta en Calle Miguel de Cervantes,Calle Miguel de Cervantes. Arteixo,43.3258439,-8.4811707,"['Superficie construida : 112 m²', 'Superficie útil : 79 m²', 'Habitaciones : 3', 'Baños : 2', 'Planta : 2ª', 'Antigüedad : Entre 20 y 30 años', 'Conservación : En buen estado', 'Referencia : 4991803-32139', 'Armarios empotrados : 2', 'Tipo suelo : Parquet', 'Agua', 'Cocina equipada', 'Trastero', 'Balcón', 'Terraza', 'Clasificación:  Disponible', 'Emisiones:  159 Kg CO2/m2 año  A B C D E F G']"
120.373 €,Piso en venta en Centro,Sada,43.351553902,-8.260922184,"['Superficie construida : 96 m²', 'Habitaciones : 2', 'Baños : 2', 'Planta : 3ª', 'Exterior', 'Antigüedad : Entre 10 y 20 años', 'Conservación : A estrenar', 'Referencia : PA30-I000172-P001396', 'Armarios empotrados', 'Carpintería interior : Sin especificar', 'Tipo suelo : Parquet', 'Calefacción : Si, sin especificar', 'Cocina : Cocina amueblada.', 'Comedor', 'Garaje : Acensor hasta el garaje', 'Trastero : 9 metros cuadrados', 'Ascensor', 'Clasificación:  Disponible', 'Emisiones:  26 Kg CO2/m2 año  A B C D E F G']"
298.000 €,Piso en venta en Calle Socorro,Calle Socorro. Cidade Vella-Atochas-Pescadería (A Coruña Capital),43.3711914,-8.4032683,"['Superficie construida : 70 m²', 'Habitaciones : 3', 'Baños : 1', 'Conservación : En buen estado', 'Referencia : IF20-049.36766', 'Armarios empotrados : 1', 'Calefacción : Eléctrica', 'Garaje : 1', 'Orientación : Al mar', 'Clasificación:  En trámite', 'Pedir más información']"
120.374 €,Piso en venta en Calle de Chaburra,Calle de Chaburra. Sada,43.3531228859634,-8.25884664547542,"['Habitaciones : 2', 'Baños : 2', 'Referencia : AS1-CAN0000181082', 'Calefacción', 'Cocina', 'Portero automático', 'Ascensor', 'Clasificación:  En trámite', 'Pedir más información']"
77.000 €,Casa adosada en venta en Abegondo,Abegondo,43.227105225,-8.288643834,"['Superficie construida : 106 m²', 'Habitaciones : 3', 'Baños : 2', 'Tipo de casa : Adosada', 'Referencia : XA519-877', 'Clasificación:  Disponible', 'Emisiones:  66 Kg CO2/m2 año  A B C D E F G']"
125.000 €,Piso en venta en Monte Alto,Monte Alto-Adormideras (A Coruña Capital),43.3797299,-8.4010727,"['Superficie construida : 72 m²', 'Superficie útil : 62 m²', 'Habitaciones : 3', 'Baños : 1', 'Planta : 5ª', 'Gastos de comunidad : Entre 20 y 40€', 'Referencia : SA418-725967/3065', 'Agua', 'Comedor', 'Orientación : Norte', 'Clasificación:  Disponible', 'Emisiones:   A B C D E F G', 'Pedir más información']"
388.000 €,Piso en venta en Monte Alto-Adormideras,Monte Alto-Adormideras (A Coruña Capital),43.3805585,-8.406864,"['Superficie construida : 95 m²', 'Habitaciones : 2', 'Baños : 2', 'Conservación : En buen estado', 'Referencia : IFC76262-BH-1152', 'Garaje', 'Ascensor', 'Clasificación:  Pendiente de completar', 'Consumo:   A B C D E F G', 'Pedir más información']"
240.000 €,Piso en venta en Calle José Vázquez Rozas,Calle José Vázquez Rozas. Elviña-Barrio Flores-Matogrande-Someso (A Coruña Capital),43.337502198,-8.409460404,"['Superficie construida : 116 m²', 'Superficie útil : 100 m²', 'Habitaciones : 3', 'Baños : 2', 'Planta : 13ª', 'Referencia : SA1112-5692RED/5394', 'Calefacción : Central', 'Garaje : 1', 'Trastero', 'Ascensor', 'Clasificación:  Disponible', 'Emisiones:   A B C D E F G', 'Pedir más información']"
